epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0404,2.09973,2.93721,2.20026,0.28845,0.26764,0.18393,0.06755,2.28206,3.88311,2.60021,0.000197778,0.000197778,0.08042
2,142.465,1.9656,2.21717,2.04169,0.5393,0.13053,0.09609,0.0293,2.80218,4.78112,3.71966,0.000397753,0.000397753,0.06062
3,207.247,1.96273,2.22535,2.04773,0.5857,0.12814,0.16328,0.06328,2.4668,3.87898,2.78693,0.000597632,0.000597632,0.0408199
4,271.552,1.89198,2.12178,1.98875,0.45001,0.13352,0.11479,0.0412,2.60634,5.78108,2.9614,0.000797339,0.000797339,0.0210196
5,335.382,1.91714,2.15454,2.03275,0.43688,0.23837,0.22032,0.08538,2.29328,3.2641,2.57381,0.000996803,0.000996803,0.00121903
6,399.82,1.88678,2.04458,1.97708,0.57529,0.22686,0.22183,0.0886,2.31531,3.21397,2.36382,0.000998474,0.000998474,0.000998474
7,464.737,1.87468,1.97203,1.95725,0.45343,0.36145,0.30645,0.11887,2.13398,2.94176,2.22149,0.000997803,0.000997803,0.000997803
8,528.873,1.76664,1.94289,1.91679,0.646,0.21752,0.18745,0.08296,2.35568,4.06169,2.43942,0.000997011,0.000997011,0.000997011
9,592.958,1.79558,1.86111,1.90427,0.4815,0.43098,0.39005,0.16112,2.09039,2.41747,2.24036,0.000996097,0.000996097,0.000996097
10,657.621,1.76066,1.8623,1.88338,0.52813,0.52228,0.45376,0.19692,1.97878,2.42736,2.08387,0.000995062,0.000995062,0.000995062
11,722.135,1.69965,1.81818,1.83026,0.52462,0.47976,0.4661,0.19794,1.9808,2.15827,2.08031,0.000993906,0.000993906,0.000993906
12,786.527,1.6881,1.75629,1.8279,0.4111,0.50546,0.40656,0.18385,2.00342,2.81443,2.14147,0.000992629,0.000992629,0.000992629
13,850.334,1.6779,1.72657,1.8184,0.51398,0.40968,0.40942,0.17628,1.98889,2.15136,2.05986,0.000991232,0.000991232,0.000991232
14,913.978,1.68243,1.68471,1.79405,0.33006,0.5206,0.39242,0.1873,1.95802,2.51252,2.06735,0.000989715,0.000989715,0.000989715
15,977.962,1.67774,1.70402,1.80344,0.56679,0.43156,0.49129,0.22389,1.88691,1.98017,2.01617,0.000988079,0.000988079,0.000988079
16,1042.06,1.66167,1.63707,1.79256,0.53943,0.4852,0.45784,0.19735,1.97865,2.12385,2.11522,0.000986323,0.000986323,0.000986323
17,1106.18,1.65045,1.62123,1.79018,0.57509,0.44992,0.4859,0.22525,1.87387,1.97855,2.00615,0.000984449,0.000984449,0.000984449
18,1170.24,1.6187,1.61745,1.76533,0.48626,0.5997,0.53275,0.23837,1.82852,2.14649,1.97014,0.000982456,0.000982456,0.000982456
19,1234.93,1.61559,1.62221,1.75891,0.53623,0.54658,0.54082,0.24849,1.84717,1.83986,1.99873,0.000980345,0.000980345,0.000980345
20,1299.16,1.59664,1.57919,1.74373,0.48578,0.59746,0.58925,0.27263,1.74629,1.74579,1.91898,0.000978118,0.000978118,0.000978118
21,1364.14,1.60581,1.56367,1.74991,0.54846,0.60355,0.59707,0.25991,1.75989,1.86362,1.98959,0.000975773,0.000975773,0.000975773
22,1427.36,1.60251,1.5612,1.75014,0.51935,0.57801,0.5569,0.25362,1.78672,1.82258,2.00925,0.000973312,0.000973312,0.000973312
23,1491.06,1.58288,1.53297,1.73047,0.53208,0.53839,0.53885,0.23953,1.77902,1.77992,1.9494,0.000970736,0.000970736,0.000970736
24,1554.28,1.59417,1.57355,1.74168,0.52194,0.44749,0.46488,0.21931,1.84226,1.90569,2.01823,0.000968045,0.000968045,0.000968045
25,1617.86,1.57614,1.54386,1.72837,0.60335,0.60399,0.64238,0.31247,1.68106,1.64265,1.88195,0.000965239,0.000965239,0.000965239
26,1682.39,1.56261,1.49646,1.71873,0.52338,0.56922,0.57688,0.2726,1.74617,1.72932,1.95093,0.00096232,0.00096232,0.00096232
27,1745.98,1.53663,1.47878,1.69183,0.67261,0.49149,0.53935,0.26144,1.80801,1.76744,1.92484,0.000959289,0.000959289,0.000959289
28,1809.2,1.55639,1.48756,1.70534,0.48381,0.57878,0.56861,0.2683,1.75077,1.69166,1.92405,0.000956145,0.000956145,0.000956145
29,1872.8,1.53483,1.45947,1.69865,0.5733,0.5785,0.59421,0.28385,1.76164,1.65889,1.9367,0.000952889,0.000952889,0.000952889
30,1936.1,1.54012,1.44513,1.70337,0.66745,0.56818,0.60439,0.28155,1.72589,1.60694,1.88779,0.000949524,0.000949524,0.000949524
31,1999.85,1.52567,1.41931,1.67814,0.56653,0.62576,0.63054,0.301,1.79401,1.57055,1.94323,0.000946048,0.000946048,0.000946048
32,2063.59,1.53229,1.42009,1.67289,0.5939,0.58018,0.62343,0.29911,1.72307,1.66327,1.88214,0.000942464,0.000942464,0.000942464
33,2127,1.52961,1.41994,1.6784,0.50771,0.59551,0.59886,0.27557,1.84047,1.61198,2.02102,0.000938772,0.000938772,0.000938772
34,2190.76,1.53176,1.40953,1.68579,0.51352,0.63553,0.61767,0.29061,1.72168,1.56467,1.87737,0.000934973,0.000934973,0.000934973
35,2254.53,1.51403,1.41753,1.68064,0.54698,0.61626,0.62618,0.3052,1.7034,1.60789,1.84381,0.000931067,0.000931067,0.000931067
36,2318.48,1.49576,1.39252,1.65807,0.67301,0.54289,0.62325,0.28729,1.76692,1.61277,1.91476,0.000927057,0.000927057,0.000927057
37,2381.91,1.47572,1.36398,1.63068,0.53534,0.61297,0.62424,0.3111,1.69089,1.52922,1.83852,0.000922942,0.000922942,0.000922942
38,2445.68,1.49648,1.36147,1.65625,0.57475,0.56997,0.61269,0.2844,1.73883,1.63773,1.91117,0.000918725,0.000918725,0.000918725
39,2509.11,1.47939,1.35853,1.64531,0.56824,0.61223,0.64083,0.31462,1.67423,1.55738,1.83327,0.000914405,0.000914405,0.000914405
40,2573.52,1.47363,1.38208,1.64358,0.52601,0.63959,0.62649,0.31304,1.69938,1.55904,1.88177,0.000909984,0.000909984,0.000909984
41,2636.92,1.46188,1.35954,1.6416,0.60193,0.578,0.62838,0.2955,1.73072,1.56484,1.89176,0.000905463,0.000905463,0.000905463
42,2699.91,1.47427,1.35807,1.64822,0.52903,0.63205,0.64809,0.31497,1.69842,1.5616,1.83552,0.000900844,0.000900844,0.000900844
43,2764.88,1.47189,1.3508,1.64189,0.54698,0.60715,0.62927,0.30801,1.67159,1.52915,1.85928,0.000896127,0.000896127,0.000896127
44,2828.41,1.46625,1.34953,1.63275,0.60934,0.5745,0.63328,0.32322,1.64887,1.56166,1.81341,0.000891313,0.000891313,0.000891313
45,2892.97,1.46224,1.31106,1.6303,0.55289,0.623,0.63473,0.30471,1.71412,1.55575,1.8708,0.000886404,0.000886404,0.000886404
46,2956.67,1.44818,1.31378,1.62225,0.56816,0.58344,0.64159,0.32189,1.69797,1.51553,1.81247,0.000881401,0.000881401,0.000881401
47,3020.45,1.46195,1.31431,1.63782,0.62968,0.5787,0.64285,0.32111,1.6462,1.53183,1.82976,0.000876305,0.000876305,0.000876305
48,3083.8,1.44348,1.30797,1.61718,0.6018,0.60763,0.63315,0.31715,1.74559,1.4861,1.88346,0.000871117,0.000871117,0.000871117
49,3147.31,1.45867,1.31268,1.62812,0.64359,0.56792,0.6367,0.30176,1.75289,1.55766,1.89419,0.000865839,0.000865839,0.000865839
50,3210.88,1.4435,1.29955,1.61715,0.56093,0.61013,0.6251,0.32169,1.66013,1.56063,1.84777,0.000860473,0.000860473,0.000860473
