epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2562,1.92862,3.02398,2.03345,0.34725,0.33167,0.27573,0.12634,2.03182,3.13765,2.32499,0.000197778,0.000197778,0.08042
2,49.0765,1.76501,2.08667,1.84369,0.63249,0.34978,0.35115,0.15146,1.93283,3.00721,2.1181,0.000397767,0.000397767,0.06062
3,72.7392,1.77006,2.00512,1.84824,0.52144,0.3998,0.39951,0.1849,2.01363,2.1442,2.27573,0.000597713,0.000597713,0.0408199
4,94.3835,1.72334,1.92835,1.83571,0.20949,0.49401,0.26005,0.09881,2.00536,2.62693,2.22369,0.000797583,0.000797583,0.0210198
5,117.121,1.75347,1.88313,1.84576,0.75667,0.31172,0.46019,0.19813,1.97146,2.12528,2.10349,0.000997345,0.000997345,0.00121957
6,138.626,1.73595,1.85996,1.83205,0.50811,0.32876,0.34294,0.1548,2.02749,2.31039,2.20555,0.000999322,0.000999322,0.000999322
7,161.134,1.68728,1.7789,1.79864,0.41866,0.56032,0.49551,0.19949,1.90347,2.00468,2.19189,0.000999023,0.000999023,0.000999023
8,183.204,1.65443,1.71554,1.77828,0.64972,0.4051,0.50085,0.20941,1.87923,2.08339,2.06173,0.000998671,0.000998671,0.000998671
9,205.95,1.65984,1.67076,1.76585,0.63534,0.44797,0.53779,0.23593,1.87061,1.83303,2.05445,0.000998264,0.000998264,0.000998264
10,229.16,1.65197,1.66241,1.76489,0.49062,0.55367,0.53738,0.23484,1.85312,1.94659,2.04066,0.000997803,0.000997803,0.000997803
11,250.352,1.61449,1.66108,1.72767,0.48219,0.60344,0.56962,0.252,1.80428,1.80651,2.01079,0.000997288,0.000997288,0.000997288
12,273.307,1.60349,1.62322,1.73445,0.47185,0.60273,0.56127,0.2568,1.81248,1.78739,1.9448,0.00099672,0.00099672,0.00099672
13,294.87,1.61516,1.61347,1.73547,0.61257,0.4604,0.50852,0.22368,1.7943,1.87387,1.91825,0.000996097,0.000996097,0.000996097
14,317.669,1.58526,1.55723,1.6944,0.49709,0.59966,0.59879,0.28297,1.71361,1.66375,1.88677,0.00099542,0.00099542,0.00099542
15,339.467,1.56846,1.54104,1.69595,0.5403,0.52488,0.59725,0.27953,1.77394,1.64203,1.97426,0.00099469,0.00099469,0.00099469
16,361.854,1.57613,1.52725,1.68773,0.55212,0.58833,0.57517,0.26201,1.75092,1.75884,1.90881,0.000993906,0.000993906,0.000993906
17,384.001,1.55745,1.519,1.68674,0.71106,0.48912,0.60008,0.29062,1.72046,1.63674,1.90999,0.000993068,0.000993068,0.000993068
18,405.89,1.51704,1.50404,1.66757,0.53094,0.58339,0.5932,0.27756,1.78446,1.65145,1.97117,0.000992177,0.000992177,0.000992177
19,428.441,1.51903,1.46009,1.66279,0.57961,0.56293,0.60579,0.28388,1.7658,1.65794,1.93968,0.000991232,0.000991232,0.000991232
20,449.689,1.53086,1.46423,1.67013,0.47959,0.64477,0.60873,0.28505,1.67365,1.67379,1.83199,0.000990234,0.000990234,0.000990234
21,472.413,1.53491,1.44624,1.66256,0.5753,0.62883,0.62999,0.29959,1.70413,1.59206,1.85502,0.000989183,0.000989183,0.000989183
22,494.013,1.52004,1.43721,1.65536,0.55316,0.62248,0.63222,0.30654,1.68822,1.57905,1.83925,0.000988079,0.000988079,0.000988079
23,517.198,1.51917,1.43222,1.65188,0.53684,0.62038,0.62522,0.29723,1.71648,1.5744,1.90943,0.000986922,0.000986922,0.000986922
24,538.482,1.50475,1.43195,1.63784,0.49438,0.56312,0.5494,0.25973,1.75854,1.67763,1.91771,0.000985711,0.000985711,0.000985711
25,561.171,1.48543,1.40534,1.61453,0.72373,0.54786,0.66301,0.31934,1.67323,1.54151,1.84136,0.000984449,0.000984449,0.000984449
26,583.798,1.48721,1.39046,1.63513,0.69648,0.52461,0.63036,0.30889,1.68947,1.58555,1.84522,0.000983133,0.000983133,0.000983133
27,604.957,1.48337,1.37719,1.61879,0.57437,0.62198,0.64323,0.31129,1.7194,1.49114,1.87524,0.000981765,0.000981765,0.000981765
28,627.675,1.49813,1.39048,1.62804,0.53544,0.58863,0.60179,0.28912,1.71675,1.61164,1.8856,0.000980345,0.000980345,0.000980345
