epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7875,2.79062,3.7173,3.46847,0.00091,0.17531,0.00125,0.00029,3.63047,4.28024,3.67992,0.000197778,0.000197778,0.08042
2,54.5108,1.96686,2.7881,2.97827,0.24759,0.20006,0.06387,0.01738,2.70856,4.17548,3.25556,0.000397767,0.000397767,0.06062
3,81.6494,1.6238,2.47438,2.65432,0.35122,0.21362,0.12198,0.04032,2.02703,3.1261,3.02616,0.000597713,0.000597713,0.0408199
4,104.554,1.44494,2.33546,2.48565,0.34049,0.27703,0.18532,0.06175,1.59772,3.42468,2.715,0.000797583,0.000797583,0.0210198
5,128.207,1.37377,2.26755,2.36343,0.22548,0.295,0.17117,0.06049,1.71951,5.86011,2.84757,0.000997345,0.000997345,0.00121957
6,149.854,1.29621,2.14676,2.25838,0.32786,0.48016,0.2871,0.09026,1.41655,3.15807,2.52256,0.000999322,0.000999322,0.000999322
7,173.658,1.25238,2.03851,2.17328,0.51989,0.42055,0.38332,0.14784,1.33754,2.40863,2.36633,0.000999023,0.000999023,0.000999023
8,198.335,1.17509,1.9717,2.10199,0.54707,0.36435,0.34488,0.13528,1.2886,2.15749,2.37076,0.000998671,0.000998671,0.000998671
9,219.723,1.17762,1.92687,2.05288,0.56566,0.46042,0.47081,0.20111,1.19813,1.94741,2.21638,0.000998264,0.000998264,0.000998264
10,243.233,1.12256,1.90521,2.02875,0.44239,0.53977,0.46757,0.18851,1.23983,2.6965,2.33252,0.000997803,0.000997803,0.000997803
11,264.606,1.11463,1.86289,1.99794,0.61592,0.35639,0.40281,0.15852,1.37233,1.98828,2.42681,0.000997288,0.000997288,0.000997288
12,287.538,1.08682,1.83622,1.98057,0.60145,0.41046,0.44485,0.17294,1.2576,1.92089,2.16306,0.00099672,0.00099672,0.00099672
13,308.76,1.09069,1.81472,1.97069,0.58846,0.42735,0.45023,0.18296,1.233,1.9864,2.2404,0.000996097,0.000996097,0.000996097
14,332.003,1.04517,1.73619,1.92263,0.47451,0.48172,0.49009,0.22002,1.07575,1.89191,2.12493,0.00099542,0.00099542,0.00099542
18,421.546,0.98077,1.65466,1.8543,0.53769,0.5171,0.51816,0.22351,1.15749,1.83755,2.18005,0.000992177,0.000992177,0.000992177
19,444.687,0.96398,1.64474,1.83766,0.46207,0.55021,0.53843,0.24236,1.10036,1.78858,2.14688,0.000991232,0.000991232,0.000991232
20,466.861,0.95865,1.58181,1.81984,0.47151,0.57766,0.57494,0.26411,1.04162,1.67137,2.02366,0.000990234,0.000990234,0.000990234
21,490.095,0.96073,1.58919,1.82299,0.45833,0.53067,0.51784,0.22456,1.15616,1.85965,2.18925,0.000989183,0.000989183,0.000989183
22,511.798,0.95212,1.57108,1.80964,0.73373,0.46415,0.57592,0.26439,1.10418,1.65159,2.02206,0.000988079,0.000988079,0.000988079
23,535.245,0.93171,1.57451,1.79889,0.7382,0.44698,0.58986,0.27187,1.03441,1.74514,2.00389,0.000986922,0.000986922,0.000986922
24,557.148,0.9345,1.59173,1.80025,0.46058,0.55273,0.54048,0.24055,1.07176,1.78274,2.14633,0.000985711,0.000985711,0.000985711
25,580.187,0.94257,1.55205,1.78745,0.53752,0.55493,0.60155,0.26077,1.09263,1.65065,2.02392,0.000984449,0.000984449,0.000984449
26,601.656,0.91636,1.54733,1.78337,0.51801,0.58569,0.58896,0.26864,1.03261,1.68253,1.97087,0.000983133,0.000983133,0.000983133
27,624.264,0.90739,1.50049,1.76609,0.73251,0.49313,0.56548,0.25808,1.11451,1.71838,2.08947,0.000981765,0.000981765,0.000981765
28,646.1,0.91761,1.52687,1.77115,0.49087,0.58352,0.56468,0.24652,1.0733,1.70377,1.99197,0.000980345,0.000980345,0.000980345
29,668.634,0.89633,1.49304,1.76283,0.72341,0.45046,0.56387,0.26356,1.01148,1.73143,1.93162,0.000978873,0.000978873,0.000978873
30,690.548,0.89452,1.49649,1.73431,0.47712,0.56678,0.56566,0.25848,1.03564,1.71253,2.03923,0.000977349,0.000977349,0.000977349
31,712.828,0.88499,1.48782,1.74013,0.60563,0.53644,0.59981,0.27429,0.98689,1.64998,1.97561,0.000975773,0.000975773,0.000975773
32,735.748,0.8755,1.47634,1.73209,0.57312,0.57723,0.61758,0.29099,0.97683,1.61386,1.96546,0.000974145,0.000974145,0.000974145
33,757.83,0.87797,1.44762,1.72114,0.78713,0.49499,0.62241,0.29051,1.00519,1.5698,1.96439,0.000972466,0.000972466,0.000972466
34,780.468,0.87442,1.44889,1.73083,0.55102,0.58248,0.59907,0.27544,0.99053,1.70978,1.93767,0.000970736,0.000970736,0.000970736
35,801.736,0.86882,1.4381,1.72565,0.53918,0.60846,0.62518,0.28717,1.06229,1.58494,1.93092,0.000968955,0.000968955,0.000968955
36,824.244,0.85381,1.43042,1.70466,0.72545,0.49862,0.58699,0.27565,1.00358,1.63409,1.96015,0.000967122,0.000967122,0.000967122
